Cepa	ord_replica	rep	temp	hr	time	fecha	day	Matraz	factor diln	OD	OD_real	MPN	Incubator	...14	...15	...16	...17
CH23	1	1	30	0	9:20:00	07/01/25	1	1	1	0.001	0.001	NA	S_1	NA	NA	NA	NA
CH23	1	1	30	2	11:14:00	07/01/25	1	1	1	0	0	NA	S_1	NA	NA	NA	NA
CH23	1	1	30	4	13:13:00	07/01/25	1	1	1	0.045	0.045	NA	S_1	NA	NA	NA	NA
CH23	1	1	30	6	15:05:00	07/01/25	1	1	1	0.251	0.251	NA	S_1	NA	NA	NA	NA
CH23	1	1	30	8	17:08:00	07/01/25	1	1	1	0.346	0.346	NA	S_1	NA	NA	NA	NA
CH23	1	1	30	10	19:35:00	07/01/25	1	1	2	0.224	0.448	NA	S_1	NA	NA	NA	NA
CH23	1	1	30	12	21:37:00	07/01/25	1	1	2	0.253	0.506	NA	S_1	NA	NA	NA	NA
CH23	1	1	30	14	23:47:00	07/01/25	1	1	3	0.21	0.63	NA	S_1	NA	NA	NA	NA
CH23	1	1	30	16	1:39:00	07/01/25	1	1	3	0.209	0.627	NA	S_1	NA	NA	NA	NA
CH23	1	1	30	18	3:23:00	07/01/25	1	1	3	0.218	0.654	NA	S_1	NA	NA	NA	NA
CH23	1	1	42	0	9:20:00	07/01/25	1	1	1	0.001	0.001	NA	S_2	NA	NA	NA	NA
CH23	1	1	42	2	11:14:00	07/01/25	1	1	1	0.019	0.019	NA	S_2	NA	NA	NA	NA
CH23	1	1	42	4	13:13:00	07/01/25	1	1	1	0.194	0.194	NA	S_2	NA	NA	NA	NA
CH23	1	1	42	6	15:05:00	07/01/25	1	1	1	0.266	0.266	NA	S_2	NA	NA	NA	NA
CH23	1	1	42	8	17:08:00	07/01/25	1	1	1	0.295	0.295	NA	S_2	NA	NA	NA	NA
CH23	1	1	42	10	19:35:00	07/01/25	1	1	2	0.235	0.47	NA	S_2	NA	NA	NA	NA
CH23	1	1	42	12	21:37:00	07/01/25	1	1	2	0.275	0.55	NA	S_2	NA	NA	NA	NA
CH23	1	1	42	14	23:47:00	07/01/25	1	1	3	0.196	0.588	NA	S_2	NA	NA	NA	NA
CH23	1	1	42	16	1:39:00	07/01/25	1	1	3	0.213	0.639	NA	S_2	NA	NA	NA	NA
CH23	1	1	42	18	3:23:00	07/01/25	1	1	3	0.216	0.648	NA	S_2	NA	NA	NA	NA
CH23	2	2	30	0	8:52:00	07/03/25	1	1	1	0.001	0.001	NA	S_1	NA	NA	NA	NA
CH23	2	2	30	2	11:02:00	07/03/25	1	1	1	0.008	0.008	NA	S_1	NA	NA	NA	NA
CH23	2	2	30	4	13:04:00	07/03/25	1	1	1	0.048	0.048	NA	S_1	NA	NA	NA	NA
CH23	2	2	30	6	15:11:00	07/03/25	1	1	1	0.259	0.259	NA	S_1	NA	NA	NA	NA
CH23	2	2	30	8	17:12:00	07/03/25	1	1	1	0.355	0.355	NA	S_1	NA	NA	NA	NA
CH23	2	2	30	10	19:24:00	07/03/25	1	1	2	0.236	0.472	NA	S_1	NA	NA	NA	NA
CH23	2	2	30	12	21:29:00	07/03/25	1	1	3	0.164	0.492	NA	S_1	NA	NA	NA	NA
CH23	2	2	30	14	23:36:00	07/03/25	1	1	3	0.162	0.486	NA	S_1	NA	NA	NA	NA
CH23	2	2	30	16	1:38:00	07/03/25	1	1	3	0.218	0.654	NA	S_1	NA	NA	NA	NA
CH23	2	2	30	18	3:30:00	07/03/25	1	1	3	0.25	0.75	NA	S_1	NA	NA	NA	NA
CH23	2	2	42	0	8:52:00	07/03/25	1	1	1	0.001	0.001	NA	S_2	NA	NA	NA	NA
CH23	2	2	42	2	11:02:00	07/03/25	1	1	1	0.037	0.037	NA	S_2	NA	NA	NA	NA
CH23	2	2	42	4	13:04:00	07/03/25	1	1	1	0.232	0.232	NA	S_2	NA	NA	NA	NA
CH23	2	2	42	6	15:11:00	07/03/25	1	1	1	0.318	0.318	NA	S_2	NA	NA	NA	NA
CH23	2	2	42	8	17:12:00	07/03/25	1	1	1	0.387	0.387	NA	S_2	NA	NA	NA	NA
CH23	2	2	42	10	19:24:00	07/03/25	1	1	2	0.259	0.518	NA	S_2	NA	NA	NA	NA
CH23	2	2	42	12	21:29:00	07/03/25	1	1	3	0.178	0.534	NA	S_2	NA	NA	NA	NA
CH23	2	2	42	14	23:36:00	07/03/25	1	1	3	0.192	0.576	NA	S_2	NA	NA	NA	NA
CH23	2	2	42	16	1:38:00	07/03/25	1	1	3	0.213	0.639	NA	S_2	NA	NA	NA	NA
CH23	2	2	42	18	3:30:00	07/03/25	1	1	3	0.241	0.723	NA	S_2	NA	NA	NA	NA
CH23	1	3	37	0	8:53:00	07/08/25	1	1	1	0.001	0.001	NA	S_1	NA	NA	NA	NA
CH23	1	3	37	2	11:00:00	07/08/25	1	1	1	0.001	0.001	NA	S_1	NA	NA	NA	NA
CH23	1	3	37	4	13:05:00	07/08/25	1	1	1	0.187	0.187	NA	S_1	NA	NA	NA	NA
CH23	1	3	37	6	15:11:00	07/08/25	1	1	1	0.327	0.327	NA	S_1	NA	NA	NA	NA
CH23	1	3	37	8	17:16:00	07/08/25	1	1	1	0.539	0.539	NA	S_1	NA	NA	NA	NA
CH23	1	3	37	10	19:41:00	07/08/25	1	1	2	0.276	0.552	NA	S_1	NA	NA	NA	NA
CH23	1	3	37	12	21:45:00	07/08/25	1	1	2	0.298	0.596	NA	S_1	NA	NA	NA	NA
CH23	1	3	37	14	23:49:00	07/08/25	1	1	3	0.2	0.6	NA	S_1	NA	NA	NA	NA
CH23	1	3	37	16	2:12:00	07/08/25	1	1	3	0.244	0.732	NA	S_1	NA	NA	NA	NA
CH23	1	3	37	18	4:20:00	07/08/25	1	1	3	0.293	0.879	NA	S_1	NA	NA	NA	NA
CH23	3	3	42	0	8:53:00	07/08/25	1	1	1	0.001	0.001	NA	S_2	NA	NA	NA	NA
CH23	3	3	42	2	11:00:00	07/08/25	1	1	1	0.034	0.034	NA	S_2	NA	NA	NA	NA
CH23	3	3	42	4	13:05:00	07/08/25	1	1	1	0.242	0.242	NA	S_2	NA	NA	NA	NA
CH23	3	3	42	6	15:11:00	07/08/25	1	1	1	0.324	0.324	NA	S_2	NA	NA	NA	NA
CH23	3	3	42	8	17:16:00	07/08/25	1	1	1	0.509	0.509	NA	S_2	NA	NA	NA	NA
CH23	3	3	42	10	19:41:00	07/08/25	1	1	2	0.224	0.448	NA	S_2	NA	NA	NA	NA
CH23	3	3	42	12	21:45:00	07/08/25	1	1	2	0.258	0.516	NA	S_2	NA	NA	NA	NA
CH23	3	3	42	14	23:49:00	07/08/25	1	1	3	0.177	0.531	NA	S_2	NA	NA	NA	NA
CH23	3	3	42	16	2:12:00	07/08/25	1	1	3	0.211	0.633	NA	S_2	NA	NA	NA	NA
CH23	3	3	42	18	4:20:00	07/08/25	1	1	3	0.21	0.63	NA	S_2	NA	NA	NA	NA
CH23	2	4	37	0	9:10:00	08/26/25	1	1	1	0.001	0.001	NA	S_2	NA	NA	NA	NA
CH23	2	4	37	2	11:10:00	08/26/25	1	1	1	0.005	0.005	NA	S_2	NA	NA	NA	NA
CH23	2	4	37	4	13:15:00	08/26/25	1	1	1	0.237	0.237	NA	S_2	NA	NA	NA	NA
CH23	2	4	37	6	15:18:00	08/26/25	1	1	1	0.31	0.31	NA	S_2	NA	NA	NA	NA
CH23	2	4	37	8	17:16:00	08/26/25	1	1	1	0.327	0.327	NA	S_2	NA	NA	NA	NA
CH23	2	4	37	10	19:43:00	08/26/25	1	1	1	0.401	0.401	NA	S_2	NA	NA	NA	NA
CH23	2	4	37	12	21:58:00	08/26/25	1	1	2	0.281	0.562	NA	S_2	NA	NA	NA	NA
CH23	2	4	37	14	0:04:00	08/26/25	1	1	2	0.279	0.558	NA	S_2	NA	NA	NA	NA
CH23	2	4	37	16	2:05:00	08/26/25	1	1	3	0.218	0.654	NA	S_2	NA	NA	NA	NA
CH23	2	4	37	18	4:10:00	08/26/25	1	1	3	0.239	0.717	NA	S_2	NA	NA	NA	NA
CH23	3	4	30	0	9:10:00	08/26/25	1	1	1	0.001	0.001	NA	B_1	NA	NA	NA	NA
CH23	3	4	30	2	11:10:00	08/26/25	1	1	1	0	0	NA	B_1	NA	NA	NA	NA
CH23	3	4	30	4	13:15:00	08/26/25	1	1	1	0.057	0.057	NA	B_1	NA	NA	NA	NA
CH23	3	4	30	6	15:18:00	08/26/25	1	1	1	0.249	0.249	NA	B_1	NA	NA	NA	NA
CH23	3	4	30	8	17:16:00	08/26/25	1	1	1	0.314	0.314	NA	B_1	NA	NA	NA	NA
CH23	3	4	30	10	19:43:00	08/26/25	1	1	1	0.394	0.394	NA	B_1	NA	NA	NA	NA
CH23	3	4	30	12	21:58:00	08/26/25	1	1	2	0.248	0.496	NA	B_1	NA	NA	NA	NA
